,GAP
1540,24.0
1541,24.0
1542,24.0
1543,24.0
1544,24.0
1545,24.0
1546,24.0
1547,23.0
1548,23.0
1549,23.0
1550,23.0
1551,23.0
1552,23.0
1553,23.0
1554,23.0
1555,22.0
1556,22.0
1557,22.0
1558,22.0
1559,22.0
1560,22.0
1561,21.0
1562,21.0
1563,21.0
1564,21.0
1565,21.0
1566,20.0
1567,20.0
1568,20.0
1569,20.0
1570,20.0
1571,20.0
1572,19.0
1573,19.0
1574,19.0
1575,19.0
1576,19.0
1577,19.0
1578,19.0
1579,19.0
1580,19.0
1581,18.0
1582,18.0
1583,18.0
1584,18.0
1585,18.0
1586,18.0
1587,18.0
1588,18.0
1589,18.0
1590,17.0
1591,17.0
1592,17.0
1593,17.0
1594,17.0
1595,16.0
1596,16.0
1597,16.0
1598,16.0
1599,16.0
1600,16.0
1601,16.0
1602,16.0
1603,16.0
1604,16.0
1605,16.0
1606,15.0
1607,15.0
1608,15.0
1609,14.0
1610,14.0
1611,14.0
1612,14.0
1613,13.0
1614,13.0
1615,13.0
1616,13.0
1617,13.0
1618,12.0
1619,12.0
1620,12.0
1621,12.0
1622,12.0
1623,11.0
1624,11.0
1625,11.0
1626,10.0
1627,10.0
1628,10.0
1629,10.0
1630,8.0
1631,8.0
1632,8.0
1633,7.0
1634,7.0
1635,5.0
1636,5.0
1637,4.0
1638,4.0
1639,4.0
1640,4.0
1641,3.0
1642,3.0
1643,3.0
1644,3.0
1645,3.0
1646,2.0
1647,2.0
1648,1.0
1649,1.0
1650,1.0
1651,1.0
1652,1.0
1653,1.0
1654,1.0
1655,1.0
1656,1.0
1657,1.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,-5.0
1669,-28.0
1670,-36.0
1671,-45.0
1672,-67.0
1673,-102.0
1674,-156.0
1675,-161.0
1676,-174.0
1677,-177.0
1678,-179.0
1679,-180.0
1680,-206.0
1681,-211.0
1682,-245.0
1683,-247.0
1684,-248.0
1685,-252.0
1686,-256.0
1687,-257.0
1688,-262.0
1689,-265.0
1690,-269.0
1691,-280.0
1692,-281.0
1693,-286.0
1694,-289.0
1695,-291.0
1696,-294.0
1697,-358.0
1698,-365.0
1699,-411.0
1700,-420.0
1701,-445.0
1702,-481.0
1703,-510.0
1704,-524.0
1705,-547.0
1706,-551.0
1707,-556.0
1708,-573.0
1709,-576.0
1710,-596.0
1711,-630.0
1712,-652.0
1713,-673.0
1714,-695.0
1715,-701.0
1716,-729.0
1717,-770.0
1718,-788.0
1719,-840.0
1720,-868.0
1721,-955.0
1722,-1098.0
1723,-1134.0
1724,-1173.0
1725,-1200.0
1726,-1224.0
1727,-1268.0
1728,-1287.0
1729,-1307.0
1730,-1367.0
1731,-1499.0
1732,-1555.0
1733,-1657.0
1734,-1674.0
1735,-1725.0
1736,-1747.0
1737,-1793.0
1738,-1800.0
1739,-1829.0
1740,-1891.0
1741,-1961.0
1742,-2005.0
1743,-2031.0
1744,-2062.0
1745,-2147.0
1746,-2196.0
1747,-2378.0
1748,-2448.0
1749,-2559.0
1750,-2700.0
1751,-2700.0
1752,-2700.0
1753,-2700.0
1754,-2820.0
1755,-2849.0
1756,-2899.0
1757,-2902.0
1758,-3039.0
1759,-3101.0
1760,-3351.0
1761,-3442.0
1762,-3445.0
1763,-3511.0
1764,-3543.0
1765,-3574.0
1766,-3576.0
1767,-3581.0
1768,-3599.0
1769,-3599.0
1770,-3600.0
1771,-3600.0
1772,-3715.0
1773,-3833.0
1774,-3989.0
1775,-4047.0
1776,-4332.0
1777,-4334.0
1778,-4354.0
1779,-4756.0
1780,-4858.0
1781,-4917.0
1782,-5033.0
1783,-5039.0
1784,-5243.0
1785,-5311.0
1786,-5548.0
1787,-5764.0
1788,-5796.0
1789,-5877.0
1790,-5893.0
1791,-5989.0
1792,-6065.0
1793,-6090.0
1794,-6251.0
1795,-6371.0
1796,-6547.0
1797,-6578.0
1798,-6606.0
1799,-6900.0
1800,-6909.0
1801,-6931.0
1802,-7103.0
1803,-7106.0
1804,-7144.0
1805,-7146.0
1806,-7194.0
1807,-7200.0
1808,-7293.0
1809,-7298.0
1810,-7453.0
1811,-7491.0
1812,-7612.0
1813,-7757.0
1814,-7763.0
1815,-7956.0
1816,-8278.0
1817,-8300.0
1818,-8408.0
1819,-8931.0
1820,-9078.0
1821,-9115.0
1822,-9130.0
1823,-9489.0
1824,-9515.0
1825,-9582.0
1826,-9673.0
1827,-9826.0
1828,-9894.0
1829,-10027.0
1830,-10139.0
1831,-10230.0
1832,-10346.0
1833,-10549.0
1834,-10560.0
1835,-10609.0
1836,-10655.0
1837,-10662.0
1838,-10706.0
1839,-10755.0
1840,-10799.0
1841,-10799.0
1842,-10800.0
1843,-10923.0
1844,-10997.0
1845,-11338.0
1846,-11815.0
1847,-12137.0
1848,-12349.0
1849,-13044.0
1850,-13056.0
1851,-13178.0
1852,-13267.0
1853,-13366.0
1854,-13488.0
1855,-13552.0
1856,-13579.0
1857,-13582.0
1858,-14094.0
1859,-14097.0
1860,-14207.0
1861,-14260.0
1862,-14292.0
1863,-14319.0
1864,-14399.0
1865,-14399.0
1866,-15776.0
1867,-15963.0
1868,-16198.0
1869,-16200.0
1870,-16988.0
1871,-17069.0
1872,-17238.0
1873,-17722.0
1874,-17861.0
1875,-17866.0
1876,-17878.0
1877,-17959.0
1878,-17966.0
1879,-17966.0
1880,-17968.0
1881,-17969.0
1882,-17970.0
1883,-17972.0
1884,-17973.0
1885,-17974.0
1886,-17975.0
1887,-17976.0
1888,-17977.0
